Rank	Frequency	UUID	Row Text
2035	1	cc01-9fbb-f4cc-3fb0	a plain is made of a flat land surface
2036	1	ea4f-ca58-7c19-5dba	breaking a part of the body means breaking a bone in that part of the body
2037	1	f997-a1ce-5dd5-9716	a drought is a kind of natural event
2038	1	2d21-2f1c-4af5-033f	grass snakes live in grass
2039	1	3bad-691a-15c4-44f6	producer is a kind of role in the food chain process ; in an ecosystem
2040	1	8bb1-de8d-5925-74c6	harming an animal species has a negative impact on the population size of that species
2041	1	5cf5-79ec-c7f8-440d	a line graph is a kind of graph
2042	1	7c08-d816-b5ae-fb99	looking directly at an eclipse of the Sun causes harm to the eyes
2043	1	3e09-df41-a63a-cf1c	a drought is a kind of natural disaster
2044	1	b626-264a-fc02-81b7	intense means high in intensity
2045	1	2b96-b294-3abb-3f9b	a vehicle is a kind of tool for travel ; transport
2046	1	902c-e87d-dede-6cdc	a reservoir is a kind of body of water
2047	1	4584-32b2-fcfb-5c0d	the floor is at the bottom of a room
2048	1	78cc-1fa6-2c47-c30f	if something transfers something else then that something is a source of something else
2049	1	3dc6-ceb8-e305-24f4	the Alps were formed by rock folding
2050	1	d86f-f0eb-8cd4-b579	An example of a reproductive behavior is salmon returning to their birthplace to lay their eggs
2051	1	21ce-fb09-081b-a826	a cut is a kind of wound
2052	1	3ac8-28fa-96ea-4658	some birds live in forests
2053	1	c13c-3759-cff0-cd36	a cat is a kind of carnivore
2054	1	4831-646d-8648-0fa7	clearing is similar to removing
2055	1	ed1e-f72b-9918-7c56	sinking means moving down
2056	1	7bed-ba1b-4cde-f393	the type of seed of a plant is an inherited characteristic
2057	1	d1f5-66f7-d352-a42b	heating salt water causes the water to evaporate while the salt remains
2058	1	47ce-3a56-5343-bea8	if a flexible container is pushed on then that container will change shape
2059	1	4ba5-ce2c-afde-ac24	some hares live in fields
2060	1	ef09-d826-3c2b-205c	a riverbank is made of soil
2061	1	e384-486e-8a78-a853	an element is a kind of material
2062	1	ed83-0798-7781-6842	an exothermic reaction increases the amount of heat
2063	1	f2a0-5d6b-ff93-de36	Jonny is a name for a human
2064	1	89ae-f520-fdbf-4c54	an television set is a kind of electrical device
2065	1	c6cc-0b90-daf6-edc7	a thorn is sharp
2066	1	e1d3-5fb3-b1c4-5332	specialized tissues at the ends of plant stems are used for growing taller by plants
2067	1	6c89-6ed2-9da5-f75d	the prevailing westerlies move air masses from east to west across the United States
2068	1	56cf-e6c1-7c3f-a742	thermal gloves are used for protecting the hand against heat
2069	1	bc41-0b7c-641f-c419	rest means sleep
2070	1	add6-007e-31dc-2dda	a physicist is a kind of scientist
2071	1	2530-6efd-e282-feb0	studying something usually requires seeing that something
2072	1	be10-2687-bb9c-5186	a lack of something that a living thing requires prevents the survival of that living thing
2073	1	ed4f-6314-0f55-e413	downstream is a kind of direction in a river
2074	1	2e43-a74f-bca2-5d7f	a hand dryer produces heat
2075	1	8794-bd63-7a55-f9fc	a diatom is a kind of organism
2076	1	bd85-00ef-0005-e205	causing means influencing
2077	1	290b-426c-c0a3-ebb6	become prey means get eaten
2078	1	f2a5-90e6-9cfa-b646	steam is a kind of gas
2079	1	d5fd-46c9-0da1-cd27	an Arizona mountain king snake is a kind of snake
2080	1	d822-a791-3a67-8bb7	a laser is used for producing light
2081	1	6d44-6295-592b-4db9	conduction is a kind of process
2082	1	d68e-b9c5-62d5-f63e	a windmill converts wind energy into electricity
2083	1	4637-2b52-badf-1d50	all living things eliminate waste
2084	1	55de-6e39-fe84-2395	often is similar to likely
2085	1	1dbc-76a8-e377-f8c3	a sandbar is formed by water moving sediment downstream
2086	1	7069-dcda-4749-8fe9	exercising is a kind of habit
2087	1	38e7-c5c0-194b-1ed6	a planet is exposed to the heat of the star around which it revolves
2088	1	d213-eeb4-7ba2-40ca	toxic means poisonous
2089	1	a696-287a-78cf-6b8a	bacteria is a part of soil
2090	1	4d6a-a765-2231-eee7	having food has a positive impact on an organism 's health
2091	1	2167-5f58-b8bb-6a22	cells are a part of the body
2092	1	1b2f-e95c-68f1-e31e	conservation is often conserving natural resources
2093	1	44c6-34b2-4f88-7519	lightning is a kind of electrical discharge
2094	1	b0a6-629a-a450-e54e	if crops are sprayed with something then that something will be on the crop 's surface
2095	1	7ce5-9209-691b-8810	a flower 's purpose is to produce seeds
2096	1	b29a-9bdd-4596-0296	the brain is a part of the body
2097	1	9109-c77c-e952-4935	resources sometimes are used for energy
2098	1	5b3e-36e4-ab92-9468	the sun rising is a kind of event
2099	1	319f-36ec-626d-1c21	humans live on land
2100	1	ff14-fa19-a544-0cc4	hitting something causes harm to that something
2101	1	b346-9120-f053-18eb	shorter means smaller ; less in height
2102	1	a94e-ad3f-d1d1-e4bf	scavenging is synonymous with looking for food
2103	1	0337-38c2-e9b5-2f97	structure is similar to shape
2104	1	305d-ed38-7824-6cc0	humans changing an environment sometimes causes that environment to be destroyed
2105	1	69ed-b6ca-35e1-902c	a skinny beak is used for obtaining food by a bird from small spaces
2106	1	c2b0-bd30-2dc8-376e	balancing a ball on one 's nose is a kind of trick
2107	1	ca98-bf5f-0d40-00ce	sugars are transported from the leaves to the roots of a plant
2108	1	1aed-3c74-88e1-9d96	fuel supply is a kind of resource
2109	1	a272-e249-f73b-8af7	young means immature
2110	1	3ce9-70b7-6dc1-9e42	if something is a part of something then that something can be found in that something
2111	1	6532-8ea6-ce14-1b62	to a human a air ; environment temperature of 32 F to 50 F is considered cold
2112	1	35ef-4ebe-9109-e5aa	a face is often a part of an animal
2113	1	1136-1a04-e6e6-5b99	wind is used for producing electricity
2114	1	c99b-8602-1fb4-444d	avoiding predators is synonymous with avoiding being eaten
2115	1	ebfe-a509-ebca-1272	metamorphosis means complete metamorphosis
2116	1	07a1-a8a2-97ac-1866	internal organs are a part of the body
2117	1	ab39-00a1-7fb7-b1d1	a bicycle is a kind of object
2118	1	d8a6-5c7b-d762-e968	learning about something sometimes requires observing that something
2119	1	189c-21f9-3228-3f0c	leaves changing color is a kind of process
2120	1	0672-8ba1-8bef-c7c2	growing larger is when size increases
2121	1	24a1-6da8-dc81-accd	An example of hibernation is a frog burying itself in mud
2122	1	5d42-f489-fc8e-6263	if an object undergoes chemical change then that object will have new chemical properties
2123	1	c43e-7b5f-7d4e-0bdf	water vapor condensing in clouds causes rain
2124	1	75e5-d0aa-9512-f33c	sky conditions are a property of weather
2125	1	4349-2e73-8808-3750	a greenhouse is a kind of shelter for plants
2126	1	4c10-6365-6e17-e201	as amount ; size of something increases , the intensive properties of that something will not change
2127	1	5e64-f4ff-d256-f740	seaweed is a kind of plant
2128	1	1c3a-3b86-ae06-715c	a doorbell is a kind of bell
2129	1	af05-e5d3-92da-de30	the digestive system digests food for the body
2130	1	782c-5d2a-36fe-5676	nature is the source of natural resources
2131	1	a199-9882-c322-d4d8	taking samples of water is used for studying the quality of water
2132	1	a328-84da-ecad-102f	an otter is a kind of aquatic animal
2133	1	94f1-7e8b-5438-dfdb	an area receiving rain means rain falling in that area
2134	1	baa9-9ba4-d21a-6e99	a cactus stem is used for storing water
2135	1	dce1-e1d6-17ae-e024	rabbits eat plants
2136	1	73df-7e6e-db00-ae55	some adult animals lay eggs
2137	1	4b24-4db5-ec89-d94c	as flatness of a leaf increases , the amount of sunlight that leaf can absorb will increase
2138	1	7854-76a6-6501-4b8f	as heat increases , a flexible container containing gas will expand
2139	1	c1cd-99dc-b931-3a4f	cellular respiration is when cells break down food to produce energy
2140	1	27e6-0bf1-bc03-7f66	nighttime means night
2141	1	fae2-7a13-e5eb-07b7	healing requires rest ; nutrients ; energy
2142	1	31c4-3218-63c1-4d9b	artificial turf is a fake grass
2143	1	9ad6-aa1b-0ea4-f31a	a palm tree is a kind of tree
2144	1	c06c-117e-c8e2-2750	a beverage is a kind of liquid
2145	1	317f-06e6-5e83-8d81	hunting is a kind of action
2146	1	61e6-58a6-0d23-51c3	a calculator is used for adding ; subtracting ; multiplying ; dividing
2147	1	44cb-f847-aac2-4fc0	a pond is smaller ; shallower than a lake
2148	1	a4ff-959e-a3ef-5a67	wind and rain ; storms cause erosion
2149	1	4a3d-dad2-2823-ee64	if an old battery no longer supplies electrical energy then that battery needs to be replaced
2150	1	ae29-0f1b-9895-50a5	rotate means turn
2151	1	70b7-f5bc-ff13-10f9	fish lay eggs
2152	1	d11d-a195-7042-efcc	food contains carbohydrates
2153	1	9f7e-705f-3053-4c6b	area is similar to location
2154	1	1e00-1b04-66ee-0a91	all living things are made of cells according to the cell theory
2155	1	daaf-468d-1f9b-0fac	doing chores is a learned characteristic
2156	1	78ff-b0b7-b1c5-5536	waving is a kind of motion
2157	1	ac29-64bc-8dfb-4080	a chipmunk eats acorns
2158	1	2a97-db62-2708-bd9d	milliliters is a kind of unit for measuring volume of liquids
2159	1	7160-91ab-6d7e-14c8	a human is a kind of mammal
2160	1	bc99-3dfb-5779-7a60	monitoring something is used for knowing information about that something
2161	1	95ee-8457-ae77-ae9a	an estuary is a kind of body of water
2162	1	b356-f5e8-262c-5157	a tadpole is the immature form of a frog
2163	1	afdd-eda7-b0e6-ad1a	an animal being born ; being hatched when temperatures are warm has a positive impact on that animal 's survival ; health
2164	1	e28b-b306-768c-9265	exercise increases a body 's strength
2165	1	dd90-d920-81f6-416c	a tooth is a kind of bone
2166	1	0a95-0ed2-b881-a7ef	a skunk is a kind of animal
2167	1	85ed-5001-a1bd-2bc1	removing trees is a kind of task
2168	1	a08d-16c5-c9ee-2af5	rocks are a source of shelter for small animals in an environment
2169	1	92a5-2060-cfc0-1d19	a salamander is a kind of amphibian
2170	1	59ba-92bd-94af-92fd	a claw sometimes is a part of a predator
2171	1	e9ad-9585-0a08-5148	rusting means forming rust
2172	1	063d-b437-ec5f-4fbf	if something is a source of something else then that something usually contains that something else
2173	1	9a26-1df3-851d-e9e4	a girl is a kind of animal
2174	1	1fd0-279c-ed27-afca	salt is a kind of substance
2175	1	1cf8-9176-21d7-92ba	plasma is formed by electrons separating from atoms in stars
2176	1	733f-086d-4dee-dbc3	humans sometimes eat seeds
2177	1	edd3-cea2-f046-e76f	boiling is a kind of phase change
2178	1	f9e1-ca2c-699a-ab24	a dense forest environment is often dark in color
2179	1	5f43-c4d3-9043-8b02	to discard means to throw away
2180	1	a280-cb5c-23dc-75f5	looking in a container sometimes requires opening that container
2181	1	03f4-694a-d986-eb3a	communication has a positive impact on a person 's life
2182	1	50c2-119a-8445-c8b7	dry wood easily burns
2183	1	de82-e643-178a-0a7b	material composition is a kind of chemical property
2184	1	07c1-be64-120e-f54b	destroying something causes harm to that something
2185	1	4a89-0774-ec0d-d44f	removing hot objects from a heat source requires thermal insulators
2186	1	09ab-1fe4-7db0-b767	contract is the opposite of expand
2187	1	fb74-d393-266e-0f88	fertilizers are a source of pollution
2188	1	c69d-96c7-e62a-386e	when the temperature in a building is cooler than the temperature selected on the thermostat , the furnace will turn on automatically
2189	1	56bc-389e-d138-7308	to send means to transfer
2190	1	f290-4de0-34ab-0f52	renewable resources can be used over again
2191	1	9141-2292-7be5-c8b7	if an object reflects more light then that object is more easily seen
2192	1	3b7d-6a35-e182-1176	beads of water are formed by water vapor condensing
2193	1	6835-a29c-ba48-1fb7	tinted lenses reflect ultraviolet rays
2194	1	8735-9116-c537-0768	fish eat insects
2195	1	6656-785f-dbd2-4c9b	a bubble is a kind of object
2196	1	078d-8864-7f8d-5b5a	a schoolyard is a kind of place
2197	1	664b-4f0e-914c-f410	the United States of America is a kind of location
2198	1	010f-22bb-c786-5a0e	sunglasses are used for reflecting light rays away from the eyes
2199	1	e740-00aa-e89d-8af1	a molecule is a kind of object
2200	1	2d67-baa5-abb9-5015	nitrogen is a kind of element
2201	1	e03e-ee31-4d99-c0fe	if a leaf falls off of a tree then that leaf is dead
2202	1	3e4c-9c36-623e-f00e	An example of seed dispersal is animals eating ; excreting seeds
2203	1	b150-d213-b73e-de9d	dead organisms rot
2204	1	cad3-7779-cc28-1338	a ladybug is a kind of insect
2205	1	7c65-e5ab-1f92-0c39	a snail is a kind of animal
2206	1	6307-398c-de48-8773	a producer is a kind of living thing
2207	1	8a30-65b6-7d7e-5aa2	a bat births ; gives birth to live young
2208	1	e58f-f348-e54d-38fe	a rabbit is a kind of mammal
2209	1	8c01-39ba-c26c-f060	acid rain has a negative impact on water quality
2210	1	926d-355a-9b2c-c5d1	an oven is a source of heat
2211	1	c59e-0070-96f7-48b8	soil is formed by rocks eroding
2212	1	be88-c9f0-da8b-be7a	adding salt to a liquid decreases the melting point of that liquid
2213	1	af64-6dc9-a2bb-291d	a scale is used for measuring weight
2214	1	e4da-e98f-0e23-2742	a shell is a part of a snail for protecting the snail
2215	1	18c4-e5f9-2e96-516d	windy means high wind speeds
2216	1	8a53-4283-77ed-02b1	a resident is a kind of person
2217	1	ad5e-a830-efe5-170e	to bump means to hit
2218	1	c381-bba2-237d-3fe2	knowledge of the stars can be used to navigate
2219	1	ac56-e576-15bb-982e	the sun is located directly overhead at noon
2220	1	7c5c-d0bf-98c2-aab9	a camel is a kind of animal
2221	1	2728-2bde-6c00-9dd0	a hand dryer is a kind of electrical device for drying hair
2222	1	f43e-ee8c-d2ee-7e60	recycling is a kind of method of disposal
2223	1	e25b-edcb-7b09-f967	materials are used for making products by manufacturers
2224	1	f608-68a4-9b75-3800	plants appearing on Earth is a kind of event
2225	1	5706-62c6-1f2a-6e18	herbivore means first-level consumer
2226	1	8d77-fa93-75df-6ae0	if a population decreases to zero then that organism is extinct
2227	1	2280-1ce3-3320-9547	an animal requires warmth for survival
2228	1	b9cc-cb02-801d-bce7	the circulatory system transports blood throughout the body
2229	1	b161-e6d7-f3ae-64bf	baking is when a human makes food by adding heat
2230	1	0a6f-6cda-f364-a708	transferring is similar to supplying
2231	1	6cb9-7da9-1e1b-119b	fertilizers have a positive impact on algae growth
2232	1	290b-dd26-b289-0cff	the skeleton is a part of the skeletal system
2233	1	f68e-fb11-a7b3-a72e	a carbon monoxide detector is a kind of instrument for warning people that carbon monoxide is present in a building
2234	1	cc84-f709-3933-9af1	the pupa stage is a stage in the metamorphosis process of some animals
2235	1	3546-9da0-47ff-c78b	ocean shell means seashell
2236	1	6b13-b027-dc64-b855	a metal is usually a solid
2237	1	fad8-89d3-6199-bc6f	a rocket engine is used to move a rocket
2238	1	c03d-b40e-6fdb-52e0	the vanes rotating in an electric fan causes air to move
2239	1	e067-ed4c-972f-7684	as the resistance to something increases , how easilty that something can be done will decrease
2240	1	d446-ee74-8b90-0757	a forest environment receives more rainfall than a desert
2241	1	346c-7060-9ad3-5d93	studying a soil sample means studying the microorganisms in that soil
2242	1	330a-482c-2f0d-0d81	humans discarding waste in an environment causes harm to that environment
2243	1	768d-b035-c9fc-da67	exercise has a positive impact on a body 's strength
2244	1	182a-86c7-c75d-8968	if a person is lost at sea then that person may not know the direction of land
2245	1	e15d-0c5d-0e78-b5dc	butter is a kind of substance
2246	1	bdf8-fbda-ff94-54f5	a hot substance is a source of heat
2247	1	4330-7381-9bed-2b75	a cycle is a kind of process
2248	1	a0e7-290b-5de1-5648	a bubble contains gas
2249	1	737b-c59a-2215-29e1	a light bulb requires electrical energy to produce light
2250	1	d38a-c7d6-bb88-dd4d	the color of an environment means the color of the things that environment contains
2251	1	00f1-21aa-fbc1-fe69	the melting point of iron is 2800F ; 1538C ; 1811K
2252	1	429b-b860-9460-60c7	a single-celled organism is a kind of living thing
2253	1	a352-bde5-b854-f460	Earth is the planet that is third closest to the Sun
2254	1	cece-3536-a959-42af	if something is made of something else then the formation of that something requires that something else
2255	1	f42a-5078-a2d5-d36a	meadow voles eat plants ; insects
2256	1	023e-be5e-200d-d253	the excretory system is a kind of body system
2257	1	4cdf-2f38-c2ff-daa9	special tissues in plants transport food ; water ; minerals throughout the plant
2258	1	928d-a3e5-933a-978b	a forest environment is often green in color
2259	1	d01a-a4c0-abba-7c09	an amphibian has smooth skin
2260	1	3685-6ff7-a08b-2d74	seeing small things is difficult
2261	1	9b1c-6275-14cd-43e5	loss of resources has a negative impact on the organisms in an area
2262	1	fddd-e3d7-b93b-187c	deeper means greater in depth
2263	1	2dc2-c468-20d4-4a8d	changed is the opposite of unchanged
2264	1	bfed-cc1c-57ae-63fe	a pesticide is usually very poisonous to insects
2265	1	f8e4-1e90-0a4f-5fde	as the amount of water received by a plant increases , that plant will usually grow
2266	1	977f-e85c-57e4-6900	a handle is a part of an object for holding that object
2267	1	7001-a06c-e3fe-2d35	if sunlight is blocked from an area then that area lacks sunlight
2268	1	615c-9023-3957-0501	lighting a candle causes that candle to burn
2269	1	3d59-043d-faf2-a90e	a camera is a kind of tool for recording images
2270	1	2f74-5c89-2c6c-dcfb	a plateau is formed by a buildup of cooled lava
2271	1	0342-b4ed-ed5d-6fdf	similar means in common
2272	1	2fb0-d5a7-c5bb-eb92	if something has a positive impact on health then that something can help to maintain good health
2273	1	a237-4e63-f4c8-5e35	a limb often contains bones
2274	1	e5d4-2c6c-1ee0-4b0b	a step in a process means a stage in a process
2275	1	77e3-2567-0b8a-e691	echolocation is when some animals detect objects by hearing echoes by emitting sound
2276	1	eeeb-2d28-4390-8610	mixing baking soda ; water causes an explosion
2277	1	426c-6ee0-9023-3cca	a wetland is a kind of ecosystem
2278	1	e73f-198c-a896-b428	rain is a source of water
2279	1	abd0-8f9f-e0e5-4a64	a female insect lays eggs during the adult stage of an insect 's life cycle
2280	1	f1c6-1bc9-dda0-fc31	the atmosphere contains gases ; liquids ; solids
2281	1	cbd8-e54c-3cb6-1a48	a salamander eats insects
2282	1	4f91-092a-029b-64a8	coastline means coast
2283	1	9d19-224c-847b-a622	when both a dominant and recessive gene are present , the dominant trait will be visible ; expressed
2284	1	5c00-b065-93b2-b8b3	sweet is a kind of flavor
2285	1	0c78-0876-00af-2ff0	clams live at the bottom of the ocean
2286	1	4e61-2891-e675-3f88	a bat is a kind of mammal
2287	1	e97b-b975-daf9-dfc2	inclined means sloping
2288	1	a817-2b63-7962-2e34	a microorganism is a kind of decomposer
2289	1	3b5e-b61a-38ed-faa2	if two things are made from the same objects ; material then those two things are similar
2290	1	df9f-982c-aa68-428a	an animal needs to move to find shelter
2291	1	731c-4521-3f2e-d41e	plant cells can perform photosynthesis
2292	1	54cf-cc71-b887-3b08	different seasons occur during different times of the year
2293	1	0610-89d4-acb3-b0dc	to break down means to break into smaller pieces
2294	1	379e-4bd0-e3d5-5a1a	a tire moves against the road
2295	1	4ed7-fd33-f63a-573f	loss is a kind of change
2296	1	e347-e59c-af7d-189c	shape is an extensive property
2297	1	b7ef-37ee-c098-3cab	talking is when a human produces sound to communicate
2298	1	e1cb-6dbd-0bf8-8d18	a flashlight requires a source of electricity to produce light
2299	1	df95-f9f1-8e21-6054	bringing is a kind of action
2300	1	b04b-4f83-a205-9f51	seat belts are used for preventing injuries to passengers in cars
2301	1	379c-057c-119a-a5bd	as the level of water rises , the amount of available land will decrease
2302	1	40b8-ce9a-9919-60f8	seconds are used to measure time
2303	1	4aa7-c643-26d8-965b	the spinal cord is a part of the central nervous system
2304	1	89d7-ec28-323f-ad68	taste is a kind of sense
2305	1	0dc2-4cac-dfae-1b4e	as the amount of light decreases , the difficulty to see shadows will increase
2306	1	33f1-c7fb-094b-0129	wind means moving air
2307	1	605c-4908-fb48-3ca6	if two objects ; two materials have the same charge then those two objects ; those two materials will repel each other
2308	1	7ab9-c401-de04-a804	syrup is a kind of liquid
2309	1	0887-9c82-3ec7-f2d7	scraping an object may cause small particles to break off of that object
2310	1	f1a3-386d-38d5-de6d	some animals shed fur in warm weather
2311	1	700a-4b04-6cef-9114	a spider web is used to capture food by spiders
2312	1	1900-f929-b3a7-b605	eating food that contains pesticides can have a negative impact on humans
2313	1	e65a-df84-fcd2-733c	fertilizers have a negative impact on the environment ; natural resources
2314	1	b952-4ad0-732a-7cdd	to enhance means to increase
2315	1	7120-da03-7f9e-5466	not looking means not seeing
2316	1	2613-ef22-d8a2-96c6	a passenger in a car is usually a human
2317	1	83c7-bb21-6c58-9534	precipitation is a kind of natural occurrence ; cause
2318	1	e1cc-1d09-9103-7301	low means low in elevation ; height ; altitude
2319	1	1632-1fa8-8c28-5669	acidic rainwater contains acid
2320	1	566f-8e4a-7d9c-2034	coloration is used to find a mate by some animals
2321	1	be79-d370-85cf-8ca6	disappeared is similar to gone
2322	1	1b62-5339-14e0-cd72	fur is a part of a bat
2323	1	e216-7a5d-1433-b719	vinegar can cause harm to the eyes
2324	1	1f45-a351-2610-20e8	if something does not contain something else then that something lacks that something else
2325	1	4df6-1a70-4364-cd87	a walrus is a kind of sea mammal
2326	1	5b09-f056-de97-ef2c	as the ability of a building to move with land increases , the likelihood of that building collapsing decreases during an earthquake
2327	1	3006-985a-1294-98df	baking is similar to cooking
2328	1	51d2-d71a-d3ca-2f10	Paul is a name for a human
2329	1	be59-b752-2bd5-629d	breaking apart rocks can cause debris
2330	1	0092-b671-2f6c-9726	creating is a kind of activity
2331	1	4765-ccbd-4fbb-78b8	moist means high in moisture
2332	1	f5b2-aca4-88b1-e3a4	limestone is a kind of sedimentary rock
2333	1	ef93-3430-85b9-d8f0	humans changing an environment causes animal populations to decrease in that environment
2334	1	870d-1249-13fb-d0a1	damp means a large amount of water
2335	1	4159-4c81-0f08-e0d7	smaller means less ; lower in size
2336	1	2301-85aa-b20b-8250	the Mississippi Delta is a kind of delta
2337	1	627d-87b0-4a4a-7cad	seeing is used for sensing visual things
2338	1	9bdb-b605-9a16-135a	parents are a part of a generation
2339	1	926d-653a-d7c0-f415	rod is cylindrical in shape
2340	1	a00a-1166-57c3-f759	a magnetic field is a kind of force
2341	1	700b-a6df-26e1-165b	a carbon monoxide detector is used for warning people that carbon monoxide is present in a building
2342	1	ad2f-42da-43e2-dbf3	batteries convert chemical energy to electrical energy
2343	1	926e-6eea-3b5a-f747	moisture is a kind of environmental factor
2344	1	8309-d5c8-048c-7198	high temperatures can cause an object to combust
2345	1	c170-8ed0-d311-238e	vaccines can help prevent illness
2346	1	e97b-a0ad-44fb-fbc3	navigation requires knowing direction
2347	1	95d8-d1fb-bd0a-1a66	goggles are a kind of object
2348	1	170f-aad5-f04c-f90d	together means in a group
2349	1	f59f-261f-52a9-1771	Earth orbiting the Sun causes seasons to change
2350	1	bc8d-37ef-e7d2-05e3	the condition of the parts of an organism are acquired characteristics
2351	1	f3fc-b375-1da8-64a3	a jaguar is a kind of big cat
2352	1	c55d-d09c-91b9-a73c	oil is formed by layers of sediment pushing down on decomposing algae
2353	1	1868-6ec4-8e36-8c79	winter is a part of the year
2354	1	0f65-4fa3-49b1-0794	to show means to present
2355	1	6528-a45c-1abe-2e52	remora fish eat food by attaching themselves to sharks and eating the food left behind
2356	1	f5fb-4734-09f4-62e7	to belong to a class means to be a kind of something
2357	1	5c98-332a-07bc-25e6	using an object often requires creating that object
2358	1	9c54-4fa8-ed73-dd28	sand has a rough surface
2359	1	fdf7-4e8f-a5ef-1fcd	the Earth absorbs more energy than it loses
2360	1	c2ad-3683-d3ec-f235	raising is a kind of motion
2361	1	0cdb-042b-7900-4dee	the volume of an object can be used to describe the size of that object
2362	1	029c-4b0e-d2c0-2383	a greenhouse is used to protect plants by keeping them warm
ERROR Could not find UID f3bd-0290-ae95-8e0a (returning empty table row)			
2363	1	f3bd-0290-ae95-8e0a	
2364	1	43fa-1bf5-c428-cfa5	chemical weathering is a kind of weathering
2365	1	ecff-60c1-7d9d-d0b8	the winter solstice is on June 21st in the southern hemisphere
2366	1	3168-bafc-668a-35fc	a laser is a kind of device for producing light
2367	1	5370-e57f-fe6d-c32b	poisonous darts are used for defense by sea anemones
2368	1	7a5a-d5b3-8af9-29c1	a shell is a part of a turtle for protecting the turtle
2369	1	2409-b366-fcf7-eb7b	the tundra is very cold in temperature
2370	1	097c-4fb9-56b6-3b8d	the cells of multicellular organisms can specialize
2371	1	b7c8-a816-2ceb-d787	potential energy is a measure of the energy of an object due to position
2372	1	eb88-7190-51ea-a396	riding something is a kind of movement
2373	1	c29b-9a2e-2b75-5efa	when a sound is produced inside of a room , there is sometimes an echo after the sound
2374	1	7101-b26e-c0b0-1347	a trashcan contains trash ; garbage ; waste
2375	1	3c99-764d-9b3a-2cf0	flippers are used for moving in water
2376	1	d57a-f3b8-87b3-73c6	a camper is a kind of human
2377	1	25f9-09c2-3469-a2f8	a foot is a part of some animals for walking
2378	1	4ba2-35d1-c2d9-ca91	a half of Earth is a hemisphere of Earth
2379	1	932b-ef93-f3dd-c1f7	pasteurization is a kind of process
2380	1	95a8-9d17-fc2e-069e	density is an intensive property
2381	1	8480-1ad7-af0d-15e0	dirt means soil
2382	1	0456-0148-2518-a48e	a tunnel is a kind of hole
2383	1	11f2-4ff8-e494-7018	a maple tree is a kind of tree
2384	1	070a-2fde-af8a-62a6	a continent is a kind of large land mass
2385	1	8b02-862f-518d-c59b	a plastic spoon is made of plastic
2386	1	4181-279d-7173-5195	as the use of alternative fuels increases , the use of gasoline will decrease
2387	1	78ba-5668-31d9-7285	the ability to access ; to acquire ; to find resources has a positive impact on an organism 's survival ; health
2388	1	fb07-29fd-92ad-c6bb	floating on water is a kind of adaptation
2389	1	12e5-6d27-bff0-489c	dairy is a kind of food
2390	1	b412-34c8-f228-654b	a monkey is a kind of mammal
2391	1	14d6-a024-da1b-d3d6	land is a kind of environment
2392	1	9975-ef8f-39de-60bf	making a valid conclusion in an investigation requires a testable hypothesis
2393	1	6891-0161-c8a9-b8c1	an organism breaks down sugar to release energy
2394	1	a7ec-4506-0e8a-ce2e	the North Star does not move in the sky in the Northern Hemisphere each night
2395	1	b70f-fde1-f800-1809	jumping rope is a kind of skill
2396	1	785d-6676-9d5d-78b2	the floor is a kind of object
2397	1	de7c-3854-da13-7105	if the feathers of a bird are a color then that bird is that color
2398	1	0e62-579f-977d-4046	alloys are made of two or more metals
2399	1	0ad2-7d4f-40c4-13c5	staying means not changing
2400	1	f25a-4bc3-30c4-ec0b	attract a mate means find a mate
2401	1	e112-616e-e25b-4a79	a circuit is a kind of electrical component
2402	1	6567-a1de-cf55-de30	poor health ; bad health ; unhealthy is the opposite of good health ; healthy
2403	1	e30e-09e8-1ee7-fdf6	movements of celestial bodies are a kind of event
2404	1	d7f8-a2da-a673-23e2	the mantle is a layer of the Earth
2405	1	b0b1-0707-d918-1442	if an animal eats a crop with something on its surface then that animal will eat the something on the surface
2406	1	3605-d626-ee3a-e15f	living in an environment causes an organism to adapt to that environment
2407	1	8af1-27da-0fa3-eab5	down is soft
2408	1	2323-a1bc-b57d-4a0c	walking is a kind of behavior
2409	1	7830-485a-4be0-309b	the bottom of a body of water is the deepest
2410	1	a19f-27a1-7743-9769	a compass is a kind of tool for determining direction by pointing north
2411	1	c000-3986-2fd0-ebb0	a radio is a kind of tool
2412	1	02d9-ec74-0c49-8fcd	building housing developments usually requires replacing ; destroying animal habitats
2413	1	fecb-89ad-bb4e-7a8b	if a living thing is destroyed then the resources used by that living thing will become available
2414	1	acaa-fed9-9236-c8de	something in the soil is located underground
2415	1	9842-70ea-d82e-01bf	many animals are herbivores
2416	1	a1a7-12d8-53e8-abd6	if an object is close then that object will appear large
2417	1	1127-1d6b-54d0-d6ec	a complex machine is made of more than one simple machine
2418	1	44f4-634f-79d8-75d7	detailed observation of celestial objects requires a telescope
2419	1	2401-2216-1d73-27d3	running requires a lot of energy
2420	1	59c5-767d-fe82-f747	fruit trees are a kind of crop
2421	1	9b3e-7893-591c-c45a	casting an image of an object through a pinhole onto a screen does not require looking directly at the object
2422	1	14f6-1b4a-f963-8a50	an egg is a kind of object
2423	1	7855-8a61-a859-05ab	something that contains air is usually buoyant
2424	1	7bb2-425e-c7fe-c044	potential energy means stored energy
2425	1	1a64-71d5-62de-afa4	as the temperature of a liquid increases , that liquid will evaporate quicker
2426	1	241c-3fd6-32cd-10e3	cooling is a kind of process
